method,platform,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,run_id,latency_ms,recall,index_size_mb,build_time_sec,coarse_ms,rerank_ms,cycles,instructions,cpi,l1_miss_rate,llc_miss_rate
SQ8-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,2,21.714000,1.000000,9.600768,0.034948,19.687000,2.025000,0,0,0,0,0
SQ8-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,3,21.803000,1.000000,9.600768,0.034948,19.753000,2.048000,0,0,0,0,0
SQ8-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,4,21.759000,1.000000,9.600768,0.034948,19.735000,2.022000,0,0,0,0,0
SQ8-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,5,21.760000,1.000000,9.600768,0.034948,19.724000,2.034000,0,0,0,0,0
SQ8-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,1,25.924000,1.000000,9.600768,0.034948,21.891000,4.030000,0,0,0,0,0
SQ8-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,2,25.944000,1.000000,9.600768,0.034948,21.919000,4.023000,0,0,0,0,0
SQ8-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,3,25.862000,1.000000,9.600768,0.034948,21.861000,3.999000,0,0,0,0,0
SQ8-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,4,25.772000,1.000000,9.600768,0.034948,21.832000,3.938000,0,0,0,0,0
SQ8-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,5,25.969000,1.000000,9.600768,0.034948,21.971000,3.995000,0,0,0,0,0
SQ8-U8SIMD-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,1,2.565000,0.015000,9.600768,0.034948,2.542000,0.021000,0,0,0,0,0
SQ8-U8SIMD-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,2,2.511000,0.015000,9.600768,0.034948,2.492000,0.018000,0,0,0,0,0
SQ8-U8SIMD-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,3,2.471000,0.015000,9.600768,0.034948,2.453000,0.016000,0,0,0,0,0
SQ8-U8SIMD-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,4,2.495000,0.015000,9.600768,0.034948,2.476000,0.018000,0,0,0,0,0
SQ8-U8SIMD-rerank-p100,ARM-aarch64-NEON,100000,96,20,10,0,0,100,1,0,heap,5,2.519000,0.015000,9.600768,0.034948,2.499000,0.018000,0,0,0,0,0
SQ8-U8SIMD-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,1,2.560000,0.040000,9.600768,0.034948,2.518000,0.040000,0,0,0,0,0
SQ8-U8SIMD-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,2,2.531000,0.040000,9.600768,0.034948,2.495000,0.035000,0,0,0,0,0
SQ8-U8SIMD-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,3,2.574000,0.040000,9.600768,0.034948,2.536000,0.036000,0,0,0,0,0
SQ8-U8SIMD-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,4,2.534000,0.040000,9.600768,0.034948,2.498000,0.035000,0,0,0,0,0
SQ8-U8SIMD-rerank-p200,ARM-aarch64-NEON,100000,96,20,10,0,0,200,1,0,heap,5,2.528000,0.040000,9.600768,0.034948,2.491000,0.035000,0,0,0,0,0
SQ8-U8SIMD-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,1,3.113000,0.090000,9.600768,0.034948,3.002000,0.110000,0,0,0,0,0
SQ8-U8SIMD-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,2,2.721000,0.090000,9.600768,0.034948,2.632000,0.088000,0,0,0,0,0
SQ8-U8SIMD-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,3,2.725000,0.090000,9.600768,0.034948,2.639000,0.085000,0,0,0,0,0
SQ8-U8SIMD-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,4,2.738000,0.090000,9.600768,0.034948,2.650000,0.086000,0,0,0,0,0
SQ8-U8SIMD-rerank-p500,ARM-aarch64-NEON,100000,96,20,10,0,0,500,1,0,heap,5,2.709000,0.090000,9.600768,0.034948,2.617000,0.090000,0,0,0,0,0
SQ8-U8SIMD-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,1,3.086000,0.140000,9.600768,0.034948,2.885000,0.199000,0,0,0,0,0
SQ8-U8SIMD-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,2,3.082000,0.140000,9.600768,0.034948,2.895000,0.185000,0,0,0,0,0
SQ8-U8SIMD-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,3,3.093000,0.140000,9.600768,0.034948,2.902000,0.190000,0,0,0,0,0
SQ8-U8SIMD-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,4,3.059000,0.140000,9.600768,0.034948,2.873000,0.185000,0,0,0,0,0
SQ8-U8SIMD-rerank-p1000,ARM-aarch64-NEON,100000,96,20,10,0,0,1000,1,0,heap,5,3.089000,0.140000,9.600768,0.034948,2.905000,0.182000,0,0,0,0,0
SQ8-U8SIMD-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,1,3.700000,0.255000,9.600768,0.034948,3.285000,0.414000,0,0,0,0,0
SQ8-U8SIMD-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,2,4.175000,0.255000,9.600768,0.034948,3.697000,0.476000,0,0,0,0,0
SQ8-U8SIMD-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,3,4.164000,0.255000,9.600768,0.034948,3.675000,0.488000,0,0,0,0,0
SQ8-U8SIMD-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,4,4.145000,0.255000,9.600768,0.034948,3.665000,0.479000,0,0,0,0,0
SQ8-U8SIMD-rerank-p2000,ARM-aarch64-NEON,100000,96,20,10,0,0,2000,1,0,heap,5,4.096000,0.255000,9.600768,0.034948,3.629000,0.465000,0,0,0,0,0
SQ8-U8SIMD-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,1,6.042000,0.480000,9.600768,0.034948,4.720000,1.320000,0,0,0,0,0
SQ8-U8SIMD-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,2,5.438000,0.480000,9.600768,0.034948,4.339000,1.097000,0,0,0,0,0
SQ8-U8SIMD-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,3,5.509000,0.480000,9.600768,0.034948,4.381000,1.125000,0,0,0,0,0
SQ8-U8SIMD-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,4,5.445000,0.480000,9.600768,0.034948,4.342000,1.101000,0,0,0,0,0
SQ8-U8SIMD-rerank-p5000,ARM-aarch64-NEON,100000,96,20,10,0,0,5000,1,0,heap,5,5.412000,0.480000,9.600768,0.034948,4.333000,1.076000,0,0,0,0,0
SQ8-U8SIMD-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,1,8.371000,0.685000,9.600768,0.034948,5.737000,2.631000,0,0,0,0,0
SQ8-U8SIMD-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,2,8.760000,0.685000,9.600768,0.034948,5.810000,2.947000,0,0,0,0,0
SQ8-U8SIMD-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,3,8.667000,0.685000,9.600768,0.034948,5.837000,2.827000,0,0,0,0,0
SQ8-U8SIMD-rerank-p10000,ARM-aarch64-NEON,100000,96,20,10,0,0,10000,1,0,heap,4,8.409000,0.685000,9.600768,0.034948,5.761000,2.645000,0,0,0,0,0
